company_cnae;cnae_section_id;cnae_section_desc;cnae_division_id;cnae_division_desc;cnae_group_id;cnae_group_desc;cnae_class_id;cnae_class_desc;company_cnae_desc
4711302;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.1;Comércio varejista não especializado;47.11-3;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - hipermercados e supermercados;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - supermercados
4712100;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.1;Comércio varejista não especializado;47.12-1;Comércio varejista de mercadorias em geral com
predominância de produtos alimentícios - minimercados
mercearias e armazéns;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns
4713002;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.1;Comércio varejista não especializado;47.13-0;Comércio varejista de mercadorias em geral sem predominância de produtos alimentícios;Lojas de variedades exceto lojas de departamentos ou magazines
4713004;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.1;Comércio varejista não especializado;47.13-0;Comércio varejista de mercadorias em geral sem predominância de produtos alimentícios;Lojas de departamentos ou magazines exceto lojas francas (Duty free)
4713005;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.1;Comércio varejista não especializado;47.13-0;Comércio varejista de mercadorias em geral sem predominância de produtos alimentícios;Lojas francas (Duty Free) de aeroportos portos e em fronteiras terrestres
4721101;-;-;-;-;-;-;-;-;-
4721102;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.2;Comércio varejista de produtos alimentícios bebidas e fumo;47.21-1;Comércio varejista de produtos de padaria laticínio doces balas e semelhantes;Padaria e confeitaria com predominância de revenda
4721103;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.2;Comércio varejista de produtos alimentícios bebidas e fumo;47.21-1;Comércio varejista de produtos de padaria laticínio doces balas e semelhantes;Comércio varejista de laticínios e frios
4721104;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.2;Comércio varejista de produtos alimentícios bebidas e fumo;47.21-1;Comércio varejista de produtos de padaria laticínio doces balas e semelhantes;Comércio varejista de doces balas bombons e semelhantes
4722901;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.2;Comércio varejista de produtos alimentícios bebidas e fumo;47.22-9;Comércio varejista de carnes e pescados - açougues e peixarias;Comércio varejista de carnes - açougues
4722902;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.2;Comércio varejista de produtos alimentícios bebidas e fumo;47.22-9;Comércio varejista de carnes e pescados - açougues e peixarias;Peixaria
